#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 06 08 50  26 12.5 15.5  2.59  6.67  5.57  33 1009.3  18.7  23.5  17.2 99.0 99.00
2017 01 06 09 50  26 12.4 15.0  2.76  7.14  5.80  32 1010.0  18.1  23.4  16.7 99.0 99.00
2017 01 06 10 50  34 12.8 14.8  2.69  7.14  5.92  39 1010.3  17.0  23.4  15.6 99.0 99.00
2017 01 06 11 50  17 12.6 15.2  2.82  7.69  5.94  47 1011.7  16.1  23.3  14.7 99.0 99.00
2017 01 06 12 50  22 13.3 15.8  2.83  7.69  5.86  42 1012.2  15.4  23.2  13.8 99.0 99.00
2017 01 06 13 50  24 14.0 16.9  3.19  7.69  6.10  50 1012.7  14.9  23.2  13.4 99.0 99.00
2017 01 06 14 50   9 13.8 16.6  3.14  7.69  6.05  45 1014.3  13.5  23.1  12.5 99.0 99.00
2017 01 06 15 50  10 12.7 16.3  2.95  7.69  5.96  54 1015.3  12.1  22.9  11.3 99.0 99.00
2017 01 06 16 50   2 12.6 15.4  2.93  7.69  5.96  52 1016.3  11.8  22.8  11.0 99.0 99.00
2017 01 06 17 50   3 12.2 15.8  2.84  8.33  5.95  56 1016.4  11.1  22.7  10.6 99.0 99.00
2017 01 06 18 50 355 12.6 15.8  2.72  7.14  5.76  51 1016.2   9.7  22.6   9.3 99.0 99.00
2017 01 06 19 50 356 13.0 16.5  2.85  7.69  5.99  56 1016.2   9.0  22.6   8.7 99.0 99.00
2017 01 06 20 50 355 12.8 15.3  2.72  8.33  5.81  56 1016.6   8.4  22.6   8.1 99.0 99.00
2017 01 06 21 50 358 13.4 18.0  2.75  8.33  5.79  62 1017.4   8.4  22.4   8.0 99.0 99.00
2017 01 06 22 50 360 13.7 16.4  2.86  8.33  5.97  59 1018.7   9.0  22.4   8.4 99.0 99.00
2017 01 06 23 50 359 13.7 17.5  2.85  7.69  5.80  60 1020.6   9.0  22.4   8.1 99.0 99.00
2017 01 07 00 50 356 14.6 17.8  2.98  6.67  5.84  38 1022.1   8.9  22.5   7.9 99.0 99.00
2017 01 07 01 50 359 15.4 19.4  3.12  8.33  6.03  64 1023.9   8.3  22.3   7.1 99.0 99.00
2017 01 07 02 50 354 14.9 18.9  3.68  8.33  6.36  54 1025.4   8.0  22.4   6.9 99.0 99.00
2017 01 07 03 50 355 15.0 18.8  3.44  8.33  6.31  57 1026.7   8.4  22.3   6.2 99.0 99.00
2017 01 07 04 50 350 14.5 18.1  3.45  8.33  6.40  50 1028.1   7.6  22.2   5.6 99.0 99.00
2017 01 07 05 50 350 13.4 18.1  3.51  8.33  6.32  45 1029.2   6.8  22.1   4.9 99.0 99.00
2017 01 07 06 50 353 13.5 16.7  3.40  7.69  6.32  30 1029.5   6.4  22.1   4.6 99.0 99.00
2017 01 07 07 50 350 13.4 17.0  3.08  8.33  6.04  45 1030.2   6.1  22.0   3.8 99.0 99.00
2017 01 07 08 50 345 12.8 16.6  3.47  8.33  6.31  52 1031.2   5.9  21.9   3.8 99.0 99.00
2017 01 07 09 50 347 12.6 15.9  3.60  9.09  6.44  58 1032.2   4.9  21.8   2.7 99.0 99.00
