"","x"
"481",2017-09-03 09:30:00
"482",2017-09-03 10:00:00
"483",2017-09-03 10:30:00
"484",2017-09-03 11:00:00
"485",2017-09-03 11:30:00
"486",2017-09-03 12:00:00
"487",2017-09-03 12:30:00
"488",2017-09-03 13:00:00
"489",2017-09-03 13:30:00
"490",2017-09-03 14:00:00
"491",2017-09-03 14:30:00
"492",2017-09-03 15:00:00
"493",2017-09-03 15:30:00
"494",2017-09-03 16:00:00
"495",2017-09-03 16:30:00
"496",2017-09-03 17:00:00
"497",2017-09-03 17:30:00
"498",2017-09-03 18:00:00
"499",2017-09-03 18:30:00
"500",2017-09-03 19:00:00
"501",2017-09-03 19:30:00
"502",2017-09-03 20:00:00
"503",2017-09-03 20:30:00
"504",2017-09-03 21:00:00
"505",2017-09-03 21:30:00
"506",2017-09-03 22:00:00
"507",2017-09-03 22:30:00
"508",2017-09-03 23:00:00
"509",2017-09-03 23:30:00
"510",2017-09-04 00:00:00
"511",2017-09-04 00:30:00
"512",2017-09-04 01:00:00
"513",2017-09-04 01:30:00
"514",2017-09-04 02:00:00
"515",2017-09-04 02:30:00
"516",2017-09-04 03:00:00
"517",2017-09-04 03:30:00
"518",2017-09-04 04:00:00
"519",2017-09-04 04:30:00
"520",2017-09-04 05:00:00
"521",2017-09-04 05:30:00
"522",2017-09-04 06:00:00
"523",2017-09-04 06:30:00
"524",2017-09-04 07:00:00
"525",2017-09-04 07:30:00
"526",2017-09-04 08:00:00
"527",2017-09-04 08:30:00
"528",2017-09-04 09:00:00
"529",2017-09-04 09:30:00
"530",2017-09-04 10:00:00
"531",2017-09-04 10:30:00
"532",2017-09-04 11:00:00
"533",2017-09-04 11:30:00
"534",2017-09-04 12:00:00
"535",2017-09-04 12:30:00
"536",2017-09-04 13:00:00
"537",2017-09-04 13:30:00
"538",2017-09-04 14:00:00
"539",2017-09-04 14:30:00
"540",2017-09-04 15:00:00
"541",2017-09-04 15:30:00
"542",2017-09-04 16:00:00
"543",2017-09-04 16:30:00
"544",2017-09-04 17:00:00
"545",2017-09-04 17:30:00
"546",2017-09-04 18:00:00
"547",2017-09-04 18:30:00
"548",2017-09-04 19:00:00
"549",2017-09-04 19:30:00
"550",2017-09-04 20:00:00
"551",2017-09-04 20:30:00
"552",2017-09-04 21:00:00
"553",2017-09-04 21:30:00
"554",2017-09-04 22:00:00
"555",2017-09-04 22:30:00
"556",2017-09-04 23:00:00
"557",2017-09-04 23:30:00
